Date,AAPL,AMZN,GE,IBM,MSFT,NFLX,BA,KO,PEP,F
2010-01-04,6.535083770751953,6.695000171661377,87.65888214111328,83.32095336914062,23.80022430419922,7.639999866485596,43.77753829956055,19.357053756713867,42.45845413208008,6.852576732635498
2010-01-05,6.546384334564209,6.734499931335449,88.11275482177734,82.3144302368164,23.80791473388672,7.3585710525512695,45.211341857910156,19.122900009155273,42.97150802612305,7.305855751037598
2010-01-06,6.442255020141602,6.612500190734863,87.65888214111328,81.77970123291016,23.661806106567383,7.617143154144287,46.58280563354492,19.11610984802246,42.54164505004883,7.579159259796143
2010-01-07,6.4303460121154785,6.5,92.19783020019531,81.49663543701172,23.415733337402344,7.485713958740234,48.46855545043945,19.0685977935791,42.27126693725586,7.772472858428955
2010-01-08,6.473095417022705,6.676000118255615,94.18364715576172,82.3144302368164,23.577220916748047,7.614285945892334,48.001014709472656,18.715667724609375,42.132598876953125,7.792469501495361
2010-01-11,6.415994644165039,6.515500068664551,95.0914077758789,81.45259857177734,23.277305603027344,7.604286193847656,47.43216323852539,19.095748901367188,42.08406066894531,8.072440147399902
2010-01-12,6.343010425567627,6.367499828338623,95.14817810058594,82.10053253173828,23.123516082763672,7.481429100036621,47.08930587768555,19.302753448486328,42.67339324951172,7.912457466125488
2010-01-13,6.43248176574707,6.45550012588501,95.48859405517578,81.92438507080078,23.33883285522461,7.708570957183838,47.65815353393555,19.35365867614746,43.02002716064453,7.7858076095581055
2010-01-14,6.395228862762451,6.367499828338623,94.75099182128906,83.2328872680664,23.80791473388672,7.284286022186279,47.969852447509766,19.387598037719727,43.540035247802734,7.839132785797119
2010-01-15,6.288352012634277,6.35699987411499,93.27584075927734,82.89948272705078,23.731014251708984,7.278571128845215,47.393211364746094,19.1025333404541,43.18642807006836,7.732478141784668
2010-01-19,6.566536903381348,6.380499839782715,93.84321594238281,84.38411712646484,23.915573120117188,7.314286231994629,47.260738372802734,19.146652221679688,43.21416473388672,7.832467555999756
2010-01-20,6.465463161468506,6.289000034332275,93.61627197265625,81.9369888305664,23.523387908935547,7.320000171661377,46.910091400146484,18.83444595336914,42.950706481933594,7.6724853515625
2010-01-21,6.35369873046875,6.330999851226807,90.89286804199219,81.15062713623047,23.07737922668457,7.312857151031494,46.13084411621094,18.450965881347656,42.250465393066406,7.452508449554443
2010-01-22,6.038565635681152,6.071499824523926,91.40350341796875,78.94889068603516,22.269939422607422,7.269999980926514,45.01653289794922,18.406850814819336,41.86914825439453,7.012556552886963
2010-01-25,6.201016902923584,6.015500068664551,92.87867736816406,79.33889770507812,22.546770095825195,7.018570899963379,45.02432632446289,18.444175720214844,41.758216857910156,7.3525214195251465
2010-01-26,6.2886576652526855,5.973999977111816,92.76521301269531,79.1061782836914,22.68518829345703,7.135714054107666,44.96977615356445,18.372905731201172,41.772064208984375,7.45917272567749
2010-01-27,6.347897052764893,6.137499809265137,92.48152923583984,79.47100067138672,22.815921783447266,7.281428813934326,48.258155822753906,18.498472213745117,41.7997932434082,7.699149131774902
2010-01-28,6.08558988571167,6.301499843597412,91.68720245361328,77.84801483154297,22.42373275756836,9.005714416503906,48.74907302856445,18.386484146118164,41.418495178222656,7.605826377868652
2010-01-29,5.864811420440674,6.270500183105469,91.23331451416016,76.992431640625,21.670124053955078,8.89285659790039,47.22178649902344,18.41023826599121,41.33528518676758,7.225869178771973
2010-02-01,5.946343898773193,5.94350004196167,92.19783020019531,78.42677307128906,21.846986770629883,8.718570709228516,48.078941345214844,18.454360961914062,42.08406066894531,7.412516117095947
2010-02-02,5.9808502197265625,5.906000137329102,95.60205841064453,78.9677505493164,21.88544464111328,8.835714340209961,48.26594924926758,18.681730270385742,42.39604568481445,7.592493534088135
2010-02-03,6.083757400512695,5.954999923706055,94.63750457763672,79.04956817626953,22.016162872314453,8.850000381469727,48.2188835144043,18.62063980102539,42.49312973022461,7.759140491485596
2010-02-04,5.864506244659424,5.796999931335449,91.00635528564453,77.37617492675781,21.40866470336914,8.619999885559082,46.53994369506836,18.131961822509766,41.349159240722656,7.372516632080078
2010-02-05,5.968634605407715,5.869500160217285,89.58793640136719,77.70329284667969,21.547086715698242,8.691429138183594,45.81813430786133,18.01658821105957,41.25901412963867,7.27252721786499
2010-02-08,5.927717208862305,5.8414998054504395,88.50991821289062,77.01456451416016,21.316387176513672,8.699999809265137,45.41801452636719,17.867265701293945,40.87770080566406,7.312527656555176
2010-02-09,5.990927696228027,5.901500225067139,88.50991821289062,77.85497283935547,21.539392471313477,8.875714302062988,46.86944580078125,18.328794479370117,41.63340759277344,7.432513236999512
2010-02-10,5.958252906799316,5.868000030517578,89.02055358886719,77.60222625732422,21.524011611938477,8.784285545349121,46.712528228759766,18.254131317138672,41.86220169067383,7.292527198791504
2010-02-11,6.066657543182373,6.004499912261963,89.47445678710938,78.18353271484375,21.623979568481445,9.05142879486084,47.53631591796875,18.40006446838379,42.42378616333008,7.452508449554443
2010-02-12,6.118875980377197,5.982999801635742,88.22623443603516,78.35417175292969,21.477874755859375,9.025713920593262,46.79883575439453,18.318614959716797,42.236595153808594,7.412516117095947
2010-02-16,6.211095809936523,5.876500129699707,91.00635528564453,79.13139343261719,21.902795791625977,9.265713691711426,48.06196975708008,18.60367774963379,42.50698471069336,7.545833110809326
2010-02-17,6.185139179229736,5.815499782562256,91.63047790527344,79.82646942138672,22.088214874267578,9.215714454650879,48.501312255859375,18.776744842529297,43.06162643432617,7.659152507781982
